County,Precints,Registered_Voters,Suspense_Voters,Non_Suspense_Voters,Cumulative_In_Person,Cumulative_In_Person_Percent,Cumulative_By_Mail,Cumulative_By_Mail_Percent,Cumulative_In_Person_By_Mail,Cumulative_Percent_Early_Vote,Year
Harris,1203,1592569,155329,1437240,113340,7.89,31292,2.18,144632,10.06,1996
Dallas,994,1058758,121440,937318,135098,14.41,11295,1.21,146393,15.62,1996
Bexar,600,744645,76583,668062,112987,16.91,18346,2.75,131333,19.66,1996
Tarrant,520,742215,89201,653014,110908,16.98,12084,1.85,122992,18.83,1996
Travis,214,459115,33367,425748,79964,18.78,3701,0.87,83665,19.65,1996
El Paso,156,296955,27584,269371,42919,15.93,2953,1.1,45872,17.03,1996
Collin,120,231160,25124,206036,39135,18.99,1516,0.74,40651,19.73,1996
Hidalgo,95,199246,13406,185840,20601,11.09,1759,0.95,22360,12.03,1996
Nueces,123,182652,17974,164678,28286,17.18,1616,0.98,29902,18.16,1996
Denton,101,209482,28246,181236,31066,17.14,916,0.51,31982,17.65,1996
Jefferson,101,160100,15834,144266,29838,20.68,2679,1.86,32517,22.54,1996
Galveston,73,153653,15273,138380,21480,15.52,2315,1.67,23795,17.2,1996
Lubbock,98,138724,17354,121370,18424,15.18,1248,1.03,19672,16.21,1996
Cameron,69,126888,7164,119724,15267,12.75,1030,0.86,16297,13.61,1996
Mclennan,98,117593,12159,105434,12211,11.58,1885,1.79,14096,13.37,1996
Harris,935,1886581,338962,1547619,228044,14.74,24039,1.55,252083,16.29,2000
Dallas,766,1248325,276311,972014,220622,22.7,13013,1.34,233635,24.04,2000
Bexar,625,871783,135565,736218,184250,25.03,17338,2.36,201588,27.38,2000
Tarrant,534,851104,170230,680874,185148,27.19,14931,2.19,200079,29.39,2000
Travis,229,572429,142516,429913,129330,30.08,6164,1.43,135494,31.52,2000
El Paso,155,352359,47773,304586,63414,20.82,2988,0.98,66402,21.8,2000
Collin,126,296171,48850,247321,75244,30.42,1860,0.75,77104,31.18,2000
Denton,125,274386,62810,211576,62686,29.63,1370,0.65,64056,30.28,2000
Hidalgo,94,244668,28133,216535,37982,17.54,2508,1.16,40490,18.7,2000
Fort Bend,128,202706,29503,173203,38612,22.29,1602,0.92,40214,23.22,2000
Nueces,122,202443,36305,166138,41952,25.25,1323,0.8,43275,26.05,2000
Montgomery,72,183958,26067,157891,42825,27.12,2471,1.57,45296,28.69,2000
Galveston,76,176888,28042,148846,39929,26.83,3796,2.55,43725,29.38,2000
Jefferson,104,166238,31570,134668,46272,34.36,3453,2.56,49725,36.92,2000
Lubbock,103,154157,32632,121525,34712,28.56,1534,1.26,36246,29.83,2000
Harris,913,1937072,331289,1605783,412129,25.67,24767,1.54,436896,27.21,2004
Dallas,686,1231291,233256,998035,322738,32.34,23991,2.4,346729,34.74,2004
Tarrant,634,918656,167534,751122,290746,38.71,14920,1.99,305666,40.69,2004
Bexar,685,908466,140967,767499,256531,33.42,18255,2.38,274786,35.8,2004
Travis,261,584949,124386,460563,207839,45.13,9589,2.08,217428,47.21,2004
El Paso,169,371856,44892,326964,92115,28.17,4305,1.32,96420,29.49,2004
Collin,162,369412,59861,309551,150001,48.46,3565,1.15,153566,49.61,2004
Denton,140,321700,56977,264723,113792,42.99,2840,1.07,116632,44.06,2004
Hidalgo,140,269811,33499,236312,58952,24.95,2838,1.2,61790,26.15,2004
Fort Bend,141,254364,31996,222368,78519,35.31,5446,2.45,83965,37.76,2004
Montgomery,85,214098,31541,182557,67080,36.74,2943,1.61,70023,38.36,2004
Nueces,126,201707,34750,166957,50699,30.37,2332,1.4,53031,31.76,2004
Williamson,92,200344,35550,164794,75494,45.81,1648,1,77142,46.81,2004
Galveston,101,185911,25982,159929,59833,37.41,4881,3.05,64714,40.46,2004
Jefferson,116,165174,28754,136420,51751,37.94,2413,1.77,54164,39.7,2004
Harris,875,1959284,264504,1694780,678312,40.02,55446,3.27,733758,43.3,2008
Dallas,695,1206543,189353,1017190,477228,46.92,30842,3.03,508070,49.95,2008
Tarrant,638,965232,143026,822206,431799,52.52,28043,3.41,459842,55.93,2008
Bexar,622,931118,151175,779943,375784,48.18,24854,3.19,400638,51.37,2008
Travis,211,611367,94348,517019,282848,54.71,16025,3.1,298873,57.81,2008
Collin,162,425091,56876,368215,211637,57.48,8057,2.19,219694,59.66,2008
El Paso,170,388498,45936,342562,110132,32.15,4633,1.35,114765,33.5,2008
Denton,141,366830,53710,313120,166927,53.31,7349,2.35,174276,55.66,2008
Hidalgo,140,305316,46977,258339,84650,32.77,2716,1.05,87366,33.82,2008
Fort Bend,142,299110,28501,270609,148450,54.86,7462,2.76,155912,57.62,2008
Montgomery,85,243539,32309,211230,96982,45.91,7916,3.75,104898,49.66,2008
Williamson,99,232642,26599,206043,108077,52.45,4252,2.06,112329,54.52,2008
Nueces,126,198850,29442,169408,62715,37.02,4616,2.72,67331,39.74,2008
Galveston,109,189357,31760,157597,71600,45.43,5712,3.62,77312,49.06,2008
Cameron,98,174428,16527,157901,39210,24.83,1882,1.19,41092,26.02,2008
Harris,1004,2000011,267016,1732995,700216,40.4,66310,3.83,766526,44.23,2012
Dallas,760,1177468,150541,1026927,415743,40.48,28164,2.74,443907,43.23,2012
Tarrant,606,974880,141030,833850,387350,46.45,31528,3.78,418878,50.23,2012
Bexar,630,918552,141444,777108,348326,44.82,22327,2.87,370653,47.7,2012
Travis,240,632962,109144,523818,222913,42.56,13830,2.64,236743,45.2,2012
Collin,196,458872,63626,395246,213447,54,8568,2.17,222015,56.17,2012
El Paso,188,383737,54612,329125,93558,28.43,2631,0.8,96189,29.23,2012
Denton,138,386742,53200,333542,163082,48.89,6817,2.04,169899,50.94,2012
Fort Bend,142,339694,35687,304007,153090,50.36,9865,3.24,162955,53.6,2012
Hidalgo,252,304823,52961,251862,99647,39.56,3623,1.44,103270,41,2012
Montgomery,86,264980,33913,231067,114092,49.38,8271,3.58,122363,52.96,2012
Williamson,88,253440,36887,216553,100472,46.4,5036,2.33,105508,48.72,2012
Nueces,127,191960,32817,159143,56595,35.56,4247,2.67,60842,38.23,2012
Galveston,132,185379,29959,155420,77762,50.03,6408,4.12,84170,54.16,2012
Cameron,97,180389,17965,162424,42103,25.92,1476,0.91,43579,26.83,2012
Harris,1012,2234671,248660,1986011,882580,44.44,94699,4.77,977279,49.21,2016
Dallas,797,1287082,174707,1112375,512168,46.04,37475,3.37,549643,49.41,2016
Tarrant,694,1077598,139286,938312,480936,51.26,34294,3.65,515230,54.91,2016
Bexar,712,1045357,127443,917914,436731,47.58,35177,3.83,471908,51.41,2016
Travis,247,725035,84035,641000,357595,55.79,20090,3.13,377685,58.92,2016
Collin,209,537358,61530,475828,289561,60.85,12378,2.6,301939,63.46,2016
Denton,158,464790,63556,401234,228928,57.06,11026,2.75,239954,59.8,2016
El Paso,191,428319,38351,389968,142453,36.53,7993,2.05,150446,38.58,2016
Fort Bend,142,404035,36555,367480,201655,54.88,11912,3.24,213567,58.12,2016
Hidalgo,255,338562,23378,315184,132424,42.01,7409,2.35,139833,44.37,2016
Montgomery,89,311880,35141,276739,145264,52.49,11554,4.18,156818,56.67,2016
Williamson,88,299958,34506,265452,153286,57.75,9272,3.49,162558,61.24,2016
Galveston,175,208232,22122,186110,94088,50.56,7400,3.98,101488,54.53,2016
Nueces,127,199467,25321,174146,67099,38.53,7745,4.45,74844,42.98,2016
Cameron,102,197726,16698,181028,61339,33.88,2900,1.6,64239,35.49,2016
Anderson,23,29274,2932,26342,13183,50.05,1252,4.75,14435,54.8,2020
Andrews,5,10272,1256,9016,4577,50.77,160,1.77,4737,52.54,2020
Angelina,43,53166,4539,48627,25869,53.2,2732,5.62,28601,58.82,2020
Aransas,6,18306,2272,16034,9451,58.94,1451,9.05,10902,67.99,2020
Archer,12,6538,382,6156,3319,53.91,304,4.94,3623,58.85,2020
Armstrong,8,1498,129,1369,767,56.03,75,5.48,842,61.5,2020
Atascosa,25,29409,2476,26933,13206,49.03,1521,5.65,14727,54.68,2020
Austin,18,20293,1684,18609,10336,55.54,1114,5.99,11450,61.53,2020
Bailey,5,3539,447,3092,1130,36.55,149,4.82,1279,41.36,2020
Bandera,11,17098,1432,15666,10046,64.13,977,6.24,11023,70.36,2020
Bastrop,23,52096,4500,47596,27077,56.89,4300,9.03,31377,65.92,2020
Baylor,5,2408,225,2183,1257,57.58,126,5.77,1383,63.35,2020
Bee,18,16033,1785,14248,6460,45.34,1074,7.54,7534,52.88,2020
Bell,49,215974,36605,179369,92522,51.58,11233,6.26,103755,57.84,2020
Bexar,767,1189373,141810,1047563,595282,56.83,84725,8.09,680007,64.91,2020
Blanco,7,9344,622,8722,5633,64.58,734,8.42,6367,73,2020
Borden,8,499,28,471,275,58.39,28,5.94,303,64.33,2020
Bosque,12,12724,1166,11558,5815,50.31,701,6.07,6516,56.38,2020
Bowie,43,61407,6234,55173,26702,48.4,3241,5.87,29943,54.27,2020
Brazoria,67,224256,19105,205151,129022,62.89,10492,5.11,139514,68.01,2020
Brazos,99,122137,15418,106719,64137,60.1,6296,5.9,70433,66,2020
Brewster,9,7524,961,6563,3418,52.08,604,9.2,4022,61.28,2020
Briscoe,6,1025,69,956,354,37.03,96,10.04,450,47.07,2020
Brooks,6,5521,851,4670,1409,30.17,299,6.4,1708,36.57,2020
Brown,19,23954,2290,21664,11198,51.69,1212,5.59,12410,57.28,2020
Burleson,14,12440,1000,11440,5791,50.62,869,7.6,6660,58.22,2020
Burnet,21,33697,2848,30849,17829,57.79,2857,9.26,20686,67.06,2020
Caldwell,32,25945,3516,22429,10960,48.87,1263,5.63,12223,54.5,2020
Calhoun,26,13080,1017,12063,4875,40.41,716,5.94,5591,46.35,2020
Callahan,8,9773,792,8981,4938,54.98,491,5.47,5429,60.45,2020
Cameron,104,218910,17884,201026,86906,43.23,9435,4.69,96341,47.92,2020
Camp,5,7904,812,7092,3848,54.26,314,4.43,4162,58.69,2020
Carson,9,4345,331,4014,1772,44.15,137,3.41,1909,47.56,2020
Cass,19,20889,2199,18690,9284,49.67,22,0.12,9306,49.79,2020
Castro,9,3853,469,3384,988,29.2,125,3.69,1113,32.89,2020
Chambers,15,30709,1108,29601,18208,61.51,725,2.45,18933,63.96,2020
Cherokee,25,29166,2427,26739,13857,51.82,1593,5.96,15450,57.78,2020
Childress,5,3658,244,3414,1629,47.72,152,4.45,1781,52.17,2020
Clay,17,7959,614,7345,3818,51.98,308,4.19,4126,56.17,2020
Cochran,4,1771,170,1601,529,33.04,66,4.12,595,37.16,2020
Coke,5,2414,95,2319,955,41.18,245,10.56,1200,51.75,2020
Coleman,5,5960,531,5429,3114,57.36,420,7.74,3534,65.09,2020
Collin,239,648670,64847,583823,422090,72.3,29018,4.97,451108,77.27,2020
Collingsworth,8,1942,154,1788,760,42.51,89,4.98,849,47.48,2020
Colorado,4,14378,905,13473,7006,52,994,7.38,8000,59.38,2020
Comal,30,115876,9439,106437,70583,66.31,2,0,70585,66.32,2020
Comanche,14,9562,500,9062,4086,45.09,573,6.32,4659,51.41,2020
Concho,9,1757,153,1604,641,39.96,146,9.1,787,49.06,2020
Cooke,30,27268,2372,24896,12383,49.74,1212,4.87,13595,54.61,2020
Coryell,16,41450,4995,36455,16859,46.25,2305,6.32,19164,52.57,2020
Cottle,5,1041,104,937,402,42.9,74,7.9,476,50.8,2020
Crane,4,2663,254,2409,1000,41.51,72,2.99,1072,44.5,2020
Crockett,5,2473,243,2230,1139,51.08,78,3.5,1217,54.57,2020
