date,County,Non_Suspense_Voters,In_person,In_Person_Percentage,Mail,Mail_Percentage
2020-10-04,Anderson,26342,0,0,141,0.54
2020-10-04,Andrews,9016,0,0,1,0.01
2020-10-04,Angelina,48627,0,0,970,1.99
2020-10-04,Aransas,16034,0,0,11,0.07
2020-10-04,Archer,6156,0,0,0,0
2020-10-04,Armstrong,1369,0,0,0,0
2020-10-04,Atascosa,26933,0,0,9,0.03
2020-10-04,Austin,18609,0,0,11,0.06
2020-10-04,Bailey,3092,0,0,36,1.16
2020-10-04,Bandera,15666,0,0,14,0.09
2020-10-04,Bastrop,47596,0,0,1207,2.54
2020-10-04,Baylor,2183,0,0,33,1.51
2020-10-04,Bee,14248,0,0,6,0.04
2020-10-04,Bell,179369,0,0,44,0.02
2020-10-04,Bexar,1047563,0,0,9616,0.92
2020-10-04,Blanco,8722,0,0,5,0.06
2020-10-04,Borden,471,0,0,0,0
2020-10-04,Bosque,11558,0,0,18,0.16
2020-10-04,Bowie,55173,0,0,11,0.02
2020-10-04,Brazoria,205151,0,0,2889,1.41
2020-10-04,Brazos,106719,0,0,65,0.06
2020-10-04,Brewster,6563,0,0,15,0.23
2020-10-04,Briscoe,956,0,0,33,3.45
2020-10-04,Brooks,4670,0,0,2,0.04
2020-10-04,Brown,21664,0,0,5,0.02
2020-10-04,Burleson,11440,0,0,159,1.39
2020-10-04,Burnet,30849,0,0,851,2.76
2020-10-04,Caldwell,22429,0,0,1,0
2020-10-04,Calhoun,12063,0,0,156,1.29
2020-10-04,Callahan,8981,0,0,135,1.5
2020-10-04,Cameron,201026,0,0,27,0.01
2020-10-04,Camp,7092,0,0,40,0.56
2020-10-04,Carson,4014,0,0,47,1.17
2020-10-04,Cass,18690,0,0,0,0
2020-10-04,Castro,3384,0,0,0,0
2020-10-04,Chambers,29601,0,0,9,0.03
2020-10-04,Cherokee,26739,0,0,7,0.03
2020-10-04,Childress,3414,0,0,1,0.03
2020-10-04,Clay,7345,0,0,118,1.61
2020-10-04,Cochran,1601,0,0,0,0
2020-10-04,Coke,2319,0,0,0,0
2020-10-04,Coleman,5429,0,0,92,1.69
2020-10-04,Collin,583823,0,0,789,0.14
2020-10-04,Collingsworth,1788,0,0,0,0
2020-10-04,Colorado,13473,0,0,7,0.05
2020-10-04,Comal,106437,0,0,0,0
2020-10-04,Comanche,9062,0,0,5,0.06
2020-10-04,Concho,1604,0,0,0,0
2020-10-04,Cooke,24896,0,0,14,0.06
2020-10-04,Coryell,36455,0,0,946,2.59
2020-10-04,Cottle,937,0,0,17,1.81
2020-10-04,Crane,2409,0,0,36,1.49
2020-10-04,Crockett,2230,0,0,1,0.04
2020-10-04,Crosby,3328,0,0,0,0
2020-10-04,Culberson,1508,0,0,0,0
2020-10-04,Dallam,2554,0,0,2,0.08
2020-10-04,Dallas,1256406,33,0,8617,0.69
2020-10-04,Dawson,6448,0,0,0,0
2020-10-04,Deaf Smith,7977,0,0,140,1.76
2020-10-04,Delta,3614,0,0,83,2.3
2020-10-04,Denton,508800,0,0,4033,0.79
2020-10-04,Dewitt,11160,0,0,3,0.03
2020-10-04,Dickens,1326,0,0,31,2.34
2020-10-04,Dimmit,6511,0,0,0,0
2020-10-04,Donley,2149,0,0,10,0.47
2020-10-04,Duval,7764,0,0,0,0
2020-10-04,Eastland,10922,0,0,4,0.04
2020-10-04,Ector,72498,0,0,549,0.76
2020-10-04,Edwards,1375,0,0,0,0
2020-10-04,Ellis,111121,0,0,36,0.03
2020-10-04,El Paso,437158,0,0,5843,1.34
2020-10-04,Erath,21796,0,0,9,0.04
2020-10-04,Falls,8967,0,0,0,0
2020-10-04,Fannin,20325,0,0,240,1.18
2020-10-04,Fayette,16560,0,0,145,0.88
2020-10-04,Fisher,2486,0,0,48,1.93
2020-10-04,Floyd,3451,0,0,1,0.03
2020-10-04,Foard,777,0,0,0,0
2020-10-04,Fort Bend,445573,0,0,171,0.04
2020-10-04,Franklin,6421,0,0,117,1.82
2020-10-04,Freestone,11419,0,0,130,1.14
2020-10-04,Frio,8050,0,0,4,0.05
2020-10-04,Gaines,8791,0,0,2,0.02
2020-10-04,Galveston,201857,0,0,2869,1.42
2020-10-04,Garza,2441,0,0,0,0
2020-10-04,Gillespie,18953,0,0,19,0.1
2020-10-04,Glasscock,763,0,0,18,2.36
2020-10-04,Goliad,5303,0,0,0,0
2020-10-04,Gonzales,11533,0,0,0,0
2020-10-04,Gray,11083,0,0,2,0.02
2020-10-04,Grayson,78171,0,0,19,0.02
2020-10-04,Gregg,64791,0,0,1424,2.2
2020-10-04,Grimes,16640,0,0,1,0.01
2020-10-04,Guadalupe,100484,0,0,2181,2.17
2020-10-04,Hale,16634,0,0,0,0
2020-10-04,Hall,1697,0,0,1,0.06
2020-10-04,Hamilton,5399,0,0,0,0
2020-10-04,Hansford,2747,0,0,0,0
2020-10-04,Hardeman,2298,0,0,0,0
2020-10-04,Hardin,39263,0,0,4,0.01
2020-10-04,Harris,2277033,0,0,1337,0.06
2020-10-04,Harrison,40508,0,0,10,0.02
2020-10-04,Hartley,2569,0,0,47,1.83
2020-10-04,Haskell,3040,0,0,62,2.04
2020-10-04,Hays,134198,0,0,2942,2.19
2020-10-04,Hemphill,2192,0,0,0,0
2020-10-04,Henderson,49423,0,0,1495,3.02
2020-10-04,Hidalgo,365036,0,0,22,0.01
2020-10-04,Hill,21987,0,0,5,0.02
2020-10-04,Hockley,12473,0,0,2,0.02
2020-10-04,Hood,40955,0,0,17,0.04
2020-10-04,Hopkins,21836,0,0,0,0
2020-10-04,Houston,12044,0,0,174,1.44
2020-10-04,Howard,15333,0,0,4,0.03
2020-10-04,Hudspeth,2027,0,0,0,0
2020-10-04,Hunt,52857,0,0,24,0.05
2020-10-04,Hutchinson,12090,0,0,178,1.47
2020-10-04,Irion,1130,0,0,10,0.88
2020-10-04,Jack,4748,0,0,69,1.45
2020-10-04,Jackson,8651,0,0,1,0.01
2020-10-04,Jasper,21354,0,0,5,0.02
2020-10-04,Jeff Davis,1565,0,0,2,0.13
2020-10-04,Jefferson,133008,0,0,21,0.02
2020-10-04,Jim Hogg,3375,0,0,0,0
2020-10-04,Jim Wells,24489,0,0,0,0
2020-10-04,Johnson,96451,0,0,40,0.04
2020-10-04,Jones,9488,0,0,78,0.82
2020-10-04,Karnes,7718,0,0,0,0
2020-10-04,Kaufman,74183,0,0,9,0.01
2020-10-04,Kendall,31421,0,0,28,0.09
2020-10-04,Kenedy,242,0,0,0,0
2020-10-04,Kent,561,0,0,6,1.07
2020-10-04,Kerr,34558,0,0,28,0.08
2020-10-04,Kimble,2898,0,0,39,1.35
2020-10-04,King,173,0,0,0,0
2020-10-04,Kinney,2078,0,0,0,0
2020-10-04,Kleberg,16693,0,0,419,2.51
2020-10-04,Knox,2104,0,0,0,0
2020-10-04,Lamar,28852,0,0,0,0
2020-10-04,Lamb,7393,0,0,0,0
2020-10-04,Lampasas,13899,0,0,16,0.12
2020-10-04,Lasalle,4085,0,0,10,0.24
2020-10-04,Lavaca,12849,0,0,3,0.02
2020-10-04,Lee,10377,0,0,29,0.28
2020-10-04,Leon,11140,0,0,269,2.41
2020-10-04,Liberty,41631,0,0,6,0.01
2020-10-04,Limestone,12592,0,0,197,1.56
2020-10-04,Lipscomb,1773,0,0,2,0.11
2020-10-04,Live Oak,6953,0,0,0,0
2020-10-04,Llano,15217,0,0,16,0.11
2020-10-04,Loving,94,0,0,0,0
2020-10-04,Lubbock,159150,0,0,89,0.06
2020-10-04,Lynn,3785,0,0,0,0
2020-10-04,Madison,7129,0,0,105,1.47
2020-10-04,Marion,6856,0,0,1,0.01
2020-10-04,Martin,3192,0,0,6,0.19
2020-10-04,Mason,2988,0,0,6,0.2
2020-10-04,Matagorda,19234,0,0,6,0.03
2020-10-04,Maverick,31217,0,0,109,0.35
2020-10-04,Mcculloch,4674,0,0,1,0.02
2020-10-04,Mclennan,133337,0,0,3991,2.99
2020-10-04,Mcmullen,659,0,0,0,0
2020-10-04,Medina,31465,0,0,24,0.08
2020-10-04,Menard,1379,0,0,0,0
2020-10-04,Midland,80800,0,0,30,0.04
2020-10-04,Milam,14471,0,0,88,0.61
2020-10-04,Mills,3128,0,0,1,0.03
2020-10-04,Mitchell,4077,0,0,48,1.18
2020-10-04,Montague,12794,0,0,0,0
2020-10-04,Montgomery,331924,0,0,1612,0.49
2020-10-04,Moore,9004,0,0,2,0.02
2020-10-04,Morris,7856,0,0,0,0
2020-10-04,Motley,844,0,0,0,0
2020-10-04,Nacogdoches,34668,0,0,32,0.09
2020-10-04,Navarro,27018,0,0,6,0.02
2020-10-04,Newton,8626,0,0,0,0
2020-10-04,Nolan,7954,0,0,169,2.12
2020-10-04,Nueces,184442,0,0,88,0.05
2020-10-04,Ochiltree,4632,0,0,47,1.01
2020-10-04,Oldham,1278,0,0,0,0
2020-10-04,Orange,49329,0,0,13,0.03
2020-10-04,Palo Pinto,17012,0,0,15,0.09
2020-10-04,Panola,15490,0,0,29,0.19
2020-10-04,Parker,93921,0,0,48,0.05
2020-10-04,Parmer,4284,0,0,2,0.05
2020-10-04,Pecos,7735,0,0,1,0.01
2020-10-04,Polk,35908,0,0,25,0.07
2020-10-04,Potter,49757,0,0,18,0.04
2020-10-04,Presidio,3755,0,0,0,0
2020-10-04,Rains,7613,0,0,0,0
2020-10-04,Randall,83603,0,0,499,0.6
2020-10-04,Reagan,1696,0,0,0,0
2020-10-04,Real,2521,0,0,0,0
2020-10-04,Red River,7788,0,0,1,0.01
2020-10-04,Reeves,7085,0,0,0,0
2020-10-04,Refugio,4549,0,0,0,0
2020-10-04,Roberts,648,0,0,11,1.7
2020-10-04,Robertson,11067,0,0,51,0.46
2020-10-04,Rockwall,66949,0,0,27,0.04
2020-10-04,Runnels,6219,0,0,0,0
2020-10-04,Rusk,29009,0,0,4,0.01
2020-10-04,Sabine,7388,0,0,100,1.35
2020-10-04,San Augustine,5652,0,0,0,0
2020-10-04,San Jacinto,17533,0,0,10,0.06
2020-10-04,San Patricio,38570,0,0,14,0.04
2020-10-04,San Saba,3433,0,0,0,0
2020-10-04,Schleicher,1537,0,0,30,1.95
2020-10-04,Scurry,8537,0,0,3,0.04
2020-10-04,Shackelford,2115,0,0,34,1.61
2020-10-04,Shelby,14323,0,0,1,0.01
2020-10-04,Sherman,1351,0,0,0,0
2020-10-04,Smith,135054,0,0,29,0.02
2020-10-04,Somervell,6202,0,0,3,0.05
2020-10-04,Starr,33020,0,0,16,0.05
2020-10-04,Stephens,5055,0,0,0,0
2020-10-04,Sterling,911,0,0,0,0
2020-10-04,Stonewall,939,0,0,0,0
2020-10-04,Sutton,2156,0,0,0,0
2020-10-04,Swisher,3472,0,0,3,0.09
2020-10-04,Tarrant,1072408,0,0,9543,0.89
2020-10-04,Taylor,72209,0,0,1322,1.83
2020-10-04,Terrell,640,0,0,1,0.16
2020-10-04,Terry,5779,0,0,0,0
2020-10-04,Throckmorton,1119,0,0,1,0.09
2020-10-04,Titus,15829,0,0,3,0.02
2020-10-04,Tom Green,61211,0,0,1985,3.24
2020-10-04,Travis,772352,0,0,1980,0.26
2020-10-04,Trinity,11051,0,0,0,0
2020-10-04,Tyler,13042,0,0,3,0.02
2020-10-04,Upshur,25504,0,0,363,1.42
2020-10-04,Upton,1995,0,0,6,0.3
2020-10-04,Uvalde,15869,0,0,4,0.03
2020-10-04,Val Verde,25361,0,0,13,0.05
2020-10-04,Van Zandt,34958,0,0,9,0.03
2020-10-04,Victoria,50547,0,0,24,0.05
2020-10-04,Walker,31484,0,0,10,0.03
2020-10-04,Waller,31772,0,0,0,0
2020-10-04,Ward,6259,0,0,0,0
2020-10-04,Washington,22095,0,0,11,0.05
2020-10-04,Webb,127617,0,0,0,0
2020-10-04,Wharton,23889,0,0,9,0.04
2020-10-04,Wheeler,3101,0,0,2,0.06
2020-10-04,Wichita,67126,0,0,3,0
2020-10-04,Wilbarger,7407,0,0,235,3.17
2020-10-04,Willacy,10635,0,0,15,0.14
2020-10-04,Williamson,338544,0,0,185,0.05
2020-10-04,Wilson,32649,0,0,295,0.9
2020-10-04,Winkler,3666,0,0,0,0
2020-10-04,Wise,42415,0,0,11,0.03
2020-10-04,Wood,29510,0,0,6,0.02
2020-10-04,Yoakum,4024,0,0,2,0.05
2020-10-04,Young,10670,0,0,3,0.03
2020-10-04,Zapata,7304,0,0,0,0
2020-10-04,Zavala,7446,0,0,0,0
2020-10-05,Anderson,26342,0,0,133,0.5
2020-10-05,Andrews,9016,0,0,8,0.09
2020-10-05,Angelina,48627,0,0,136,0.28
2020-10-05,Aransas,16034,0,0,6,0.04
2020-10-05,Archer,6156,0,0,0,0
2020-10-05,Armstrong,1369,0,0,0,0
2020-10-05,Atascosa,26933,0,0,7,0.03
2020-10-05,Austin,18609,0,0,0,0
2020-10-05,Bailey,3092,0,0,19,0.61
2020-10-05,Bandera,15666,0,0,5,0.03
2020-10-05,Bastrop,47596,0,0,462,0.97
2020-10-05,Baylor,2183,0,0,10,0.46
2020-10-05,Bee,14248,0,0,3,0.02
2020-10-05,Bell,179369,0,0,0,0
2020-10-05,Bexar,1047563,0,0,3215,0.31
2020-10-05,Blanco,8722,0,0,4,0.05
2020-10-05,Borden,471,0,0,0,0
2020-10-05,Bosque,11558,0,0,105,0.91
2020-10-05,Bowie,55173,0,0,3,0.01
2020-10-05,Brazoria,205151,0,0,978,0.48
2020-10-05,Brazos,106719,0,0,32,0.03
2020-10-05,Brewster,6563,0,0,53,0.81
2020-10-05,Briscoe,956,0,0,12,1.26
2020-10-05,Brooks,4670,0,0,50,1.07
2020-10-05,Brown,21664,0,0,4,0.02
