CTYNAME,AGEGRP,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,H_MALE,H_FEMALE
Anderson,5,3404,2195,1209,1491,933,624,203,10,12,26,14,1,4,43,43,1593,931,602,278
Anderson,6,4493,3150,1343,2005,1067,1047,219,9,15,47,13,2,2,40,27,2271,1075,879,268
Anderson,7,4857,3564,1293,2197,1018,1265,233,9,6,42,20,10,3,41,13,2626,1062,938,231
Anderson,8,4708,3404,1304,2100,1053,1205,200,30,9,38,20,5,4,26,18,2637,1090,767,214
Anderson,9,4624,3369,1255,2118,1054,1158,169,21,8,30,17,7,2,35,5,2690,1001,679,254
Anderson,10,4434,3077,1357,1961,1090,1020,212,32,13,36,21,2,2,26,19,2555,1143,522,214
Anderson,11,3890,2550,1340,1752,1108,760,199,13,7,9,11,1,7,15,8,2199,1186,351,154
Anderson,12,3576,2123,1453,1573,1199,506,212,12,13,12,12,2,2,18,15,1898,1311,225,142
Anderson,13,3265,1710,1555,1373,1312,293,203,18,16,10,13,0,0,16,11,1567,1457,143,98
Anderson,14,2760,1401,1359,1189,1177,176,156,14,7,4,3,2,0,16,16,1299,1275,102,84
Anderson,15,2217,1081,1136,962,1017,102,103,5,4,3,5,0,0,9,7,1027,1092,54,44
Anderson,16,1675,764,911,687,780,67,116,6,3,0,3,0,0,4,9,720,869,44,42
Anderson,17,949,369,580,316,502,44,69,4,3,1,1,0,1,4,4,358,567,11,13
Anderson,18,866,329,537,282,436,38,88,4,4,0,5,0,0,5,4,319,514,10,23
Andrews,5,1145,622,523,573,492,13,11,17,7,7,3,1,0,11,10,201,170,421,353
Andrews,6,1367,748,619,693,599,22,8,16,6,4,1,0,0,13,5,260,250,488,369
Andrews,7,1306,667,639,631,610,11,11,8,10,3,4,0,0,14,4,244,269,423,370
