CTYNAME,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,NH_MALE,NH_FEMALE,H_MALE,H_FEMALE
Anderson,45718,29086,16632,20006,13746,8305,2382,187,120,258,158,32,27,298,199,23759,14573,5327,2059
Andrews,11957,6103,5854,5745,5565,124,84,108,94,45,47,3,1,78,63,2745,2924,3358,2930
Angelina,62473,30058,32415,24913,26426,4303,5061,231,254,324,372,27,18,260,284,24071,26808,5987,5607
Aransas,18848,9213,9635,8595,9088,174,111,125,121,173,191,8,6,138,118,6974,7485,2239,2150
Archer,6606,3229,3377,3087,3245,37,26,49,49,10,23,1,1,45,33,2994,3169,235,208
Armstrong,1412,686,726,666,697,7,4,7,16,2,1,0,0,4,8,631,679,55,47
Atascosa,35243,17377,17866,16627,17162,231,172,251,215,103,112,19,25,146,180,6499,7000,10878,10866
Austin,22122,10929,11193,9671,9887,964,1022,93,84,80,97,4,3,117,100,8322,8780,2607,2413
Bailey,4613,2310,2303,2137,2161,60,32,75,71,17,14,1,7,20,18,943,988,1367,1315
Bandera,18600,9135,9465,8766,9085,88,82,142,107,39,64,6,1,94,126,7512,7861,1623,1604
Bastrop,62370,31648,30722,27703,27135,2504,2214,627,543,298,318,44,37,472,475,21030,21370,10618,9352
Baylor,2681,1278,1403,1209,1327,36,37,13,7,3,8,1,2,16,22,1115,1240,163,163
Bee,24676,15694,8982,13005,8485,2379,193,116,102,78,89,18,10,98,103,7944,3313,7750,5669
Bell,246837,121361,125476,83777,84332,28584,29472,1383,1268,3323,5423,958,1055,3336,3926,93467,97586,27894,27890
Bexar,1416666,690013,726653,586524,617215,59345,60015,8869,8826,22065,26431,1539,1586,11671,12580,297395,304642,392618,422011
Blanco,9292,4588,4704,4313,4495,106,43,78,41,25,69,4,7,62,49,3776,3976,812,728
Borden,508,263,245,251,236,4,0,0,3,0,1,0,0,8,5,213,209,50,36
Bosque,14221,6911,7310,6562,7013,148,115,76,52,35,49,4,5,86,76,5843,6227,1068,1083
Bowie,69328,34521,34807,24860,24886,8347,8546,396,361,371,489,40,23,507,502,31467,33259,3054,1548
Brazoria,262611,131780,130831,100441,98796,20034,19091,1161,1086,8391,10008,133,109,1620,1741,94041,95378,37739,35453
Brazos,165042,83371,81671,67056,65759,8222,9066,591,536,6161,4943,113,89,1228,1278,64145,63327,19226,18344
Brewster,7344,3685,3659,3456,3419,63,40,64,61,41,55,6,5,55,79,2136,2136,1549,1523
Briscoe,1185,586,599,555,560,20,19,2,6,0,1,0,0,9,13,457,461,129,138
Brooks,4922,2475,2447,2399,2374,27,23,20,22,24,19,1,2,4,7,236,210,2239,2237
Brown,28496,13964,14532,12925,13710,612,387,125,130,119,115,9,13,174,177,11134,11800,2830,2732
Burleson,13880,6751,7129,5774,6059,803,893,82,65,27,28,2,4,63,80,5537,5930,1214,1199
Burnet,36227,17476,18751,16540,17838,389,330,219,193,130,161,15,9,183,220,14134,15488,3342,3263
Caldwell,31456,15634,15822,13934,14189,1090,1020,244,229,142,159,12,11,212,214,8157,8303,7477,7519
Calhoun,15725,8032,7693,7098,6960,251,226,74,47,504,381,4,5,101,74,4468,4265,3564,3428
Callahan,10584,5167,5417,4938,5170,91,64,37,52,27,51,3,4,71,76,4687,4976,480,441
Cameron,280129,133169,146960,128968,143120,1247,877,957,995,1280,1261,114,106,603,601,17781,17404,115388,129556
Camp,9224,4426,4798,3513,3792,696,858,57,34,62,29,6,11,92,74,3488,3903,938,895
Carson,4438,2195,2243,2085,2142,18,15,46,33,8,20,2,1,36,32,1995,2038,200,205
Cass,22688,10717,11971,8774,9688,1701,2042,71,85,49,51,9,4,113,101,10342,11548,375,423
Castro,5199,2641,2558,2475,2408,82,56,45,47,15,23,0,0,24,24,1024,1030,1617,1528
Chambers,29374,14699,14675,12871,12918,1303,1230,179,143,184,215,16,15,146,154,11537,11941,3162,2734
Cherokee,37454,18872,18582,15232,15438,2959,2535,328,271,108,114,12,6,233,218,15077,15448,3795,3134
Childress,5722,3595,2127,2900,1969,623,90,28,22,18,17,0,1,26,28,2347,1676,1248,451
Clay,8142,4035,4107,3862,3905,38,25,51,64,10,38,1,0,73,75,3821,3862,214,245
Cochran,1985,994,991,898,894,47,46,30,36,5,4,3,3,11,8,446,470,548,521
Coke,2572,1271,1301,1199,1243,16,6,35,30,2,3,1,0,18,19,1013,1076,258,225
Coleman,6420,3225,3195,3008,2975,104,87,48,50,14,33,3,0,48,50,2730,2713,495,482
Collin,718373,348393,369980,250635,262238,33368,39942,2450,2404,55372,58203,336,391,6232,6802,299795,321069,48598,48911
Collingsworth,2106,1022,1084,921,975,57,62,29,28,4,6,0,0,11,13,730,782,292,302
Colorado,15864,7912,7952,6777,6800,928,948,89,64,42,56,5,8,71,76,5767,6095,2145,1857
Comal,111367,54404,56963,50972,53327,1592,1293,479,478,583,981,50,52,728,832,40846,43176,13558,13787
Comanche,10240,5058,5182,4858,4973,59,40,61,80,23,41,6,1,51,47,3775,4046,1283,1136
Concho,2127,1145,982,1062,943,30,11,7,12,38,4,1,0,7,12,718,710,427,272
Cooke,29977,14667,15310,13657,14279,446,422,226,194,144,192,11,6,183,217,12410,13272,2257,2038
Coryell,55973,27588,28385,20757,21089,4992,5172,310,322,493,819,256,236,780,747,22670,23793,4918,4592
Cottle,1035,486,549,419,484,58,52,2,4,0,1,1,1,6,7,362,441,124,108
Crane,3225,1616,1609,1475,1492,65,47,33,23,15,22,1,2,27,23,601,672,1015,937
Crockett,2499,1249,1250,1162,1189,24,17,31,25,9,10,2,1,21,8,450,470,799,780
Crosby,4079,2003,2076,1845,1946,78,69,28,28,6,6,3,1,43,26,975,1042,1028,1034
Culberson,1649,807,842,738,779,11,6,18,18,18,18,1,0,21,21,258,234,549,608
Dallam,4781,2500,2281,2288,2139,79,39,64,49,28,26,6,4,35,24,1436,1356,1064,925
Dallas,1874826,912433,962393,625977,624102,197391,245958,10161,9733,65516,67552,963,1047,12425,14001,574665,640334,337768,322059
Dawson,9006,5026,3980,4385,3705,449,145,73,43,56,38,8,5,55,44,2328,1857,2698,2123
Deaf,12346,6102,6244,5747,5916,133,131,117,100,33,41,7,3,65,53,1902,2062,4200,4182
Delta,3960,1966,1994,1724,1775,145,105,45,46,15,15,0,1,37,52,1807,1874,159,120
Denton,623426,302790,320636,236529,245570,29869,35215,2575,2603,28209,30904,347,324,5261,6020,249823,267257,52967,53379
DeWitt,15168,7993,7175,6931,6489,883,526,90,64,23,33,7,0,59,63,5288,5033,2705,2142
Dickens,1731,981,750,846,698,79,17,25,12,15,9,0,2,16,12,651,582,330,168
Dimmit,6971,3362,3609,3212,3472,58,51,35,27,30,32,0,2,27,25,516,468,2846,3141
Donley,2462,1193,1269,1102,1157,59,71,10,17,8,10,1,1,13,13,1066,1165,127,104
Duval,8032,4139,3893,3947,3806,106,16,43,35,13,21,3,3,27,12,544,385,3595,3508
Eastland,13703,6772,6931,6444,6618,133,98,89,78,32,63,7,4,67,70,5720,6060,1052,871
Ector,108332,54946,53386,49793,48616,2844,2559,944,754,653,769,117,151,595,537,22900,23355,32046,30031
Edwards,1433,738,695,710,653,6,11,14,21,3,4,0,0,5,6,355,341,383,354
El,584902,284437,300465,259067,279811,14252,9432,3237,2949,3901,4739,651,577,3329,2957,61923,48468,222514,251997
Ellis,126613,61405,65208,52962,55545,6641,7534,543,547,414,624,72,90,773,868,46537,50915,14868,14293
Erath,30364,14876,15488,14012,14763,299,228,196,184,155,121,8,15,206,177,11950,12873,2926,2615
Falls,13301,6144,7157,4622,5049,1316,1888,80,73,35,48,8,15,83,84,4754,5821,1390,1336
Fannin,26935,14360,12575,12482,11521,1375,530,178,184,82,120,13,6,230,214,12697,11612,1663,963
Fayette,19671,9601,10070,8823,9229,566,601,110,98,36,47,4,9,62,86,7894,8436,1707,1634
Fisher,2929,1444,1485,1335,1371,59,57,17,20,4,7,3,2,26,28,1078,1082,366,403
Floyd,4067,1997,2070,1829,1926,76,80,38,26,14,8,0,1,40,29,937,986,1060,1084
Foard,925,436,489,406,457,18,20,4,4,2,6,0,0,6,2,352,415,84,74
Fort,551078,265705,285373,151198,154482,53080,63214,1554,1557,55746,61730,213,264,3914,4126,203875,221289,61830,64084
Franklin,8021,3945,4076,3664,3786,141,155,52,41,42,36,1,2,45,56,3421,3652,524,424
Freestone,14790,7759,7031,6109,5750,1373,1051,112,78,54,62,3,2,108,88,6603,6291,1156,740
Frio,14794,9144,5650,7880,5420,638,92,110,47,426,49,2,4,88,38,2217,1174,6927,4476
Gaines,12741,6499,6242,6125,5946,174,131,90,70,34,30,6,2,70,63,3784,3814,2715,2428
Galveston,247358,119707,127651,98275,102440,14558,17381,1000,1069,4047,4864,128,133,1699,1764,92342,100055,27365,27596
Garza,4929,3284,1645,2982,1475,226,113,19,21,26,20,2,2,29,14,1393,1037,1891,608
Gillespie,20870,9966,10904,9601,10592,84,52,131,116,47,54,12,13,91,77,7949,8989,2017,1915
Glasscock,1001,554,447,535,433,10,10,5,0,1,1,0,1,3,2,336,313,218,134
Goliad,5816,2847,2969,2617,2776,146,129,30,27,17,16,1,1,36,20,1917,1983,930,986
Gonzales,14612,7269,7343,6477,6609,548,489,143,121,33,51,12,8,56,65,3913,4137,3356,3206
Gray,15957,8661,7296,7572,6831,824,172,122,118,41,52,1,0,101,123,6344,5663,2317,1633
Grayson,98535,47277,51258,42084,45691,2855,3023,831,914,685,706,30,42,792,882,41787,46171,5490,5087
Gregg,88165,41839,46326,32097,34751,8085,9865,462,416,576,680,59,37,560,577,34953,40246,6886,6080
Grimes,21350,11814,9536,9445,7957,2079,1289,113,95,33,50,12,10,132,135,9328,7664,2486,1872
Guadalupe,117826,57606,60220,49674,51871,5314,4951,556,573,884,1571,119,132,1059,1122,37144,38970,20462,21250
Hale,23409,12332,11077,10956,10209,947,477,198,207,87,68,18,16,126,100,5657,4950,6675,6127
Hall,2251,1099,1152,958,1023,108,89,17,16,5,4,1,1,10,19,776,821,323,331
Hamilton,6439,3160,3279,3001,3139,35,23,66,56,24,28,3,1,31,32,2803,2965,357,314
Hansford,3674,1822,1852,1739,1774,21,15,35,37,6,8,1,1,20,17,994,1133,828,719
Hardeman,3003,1485,1518,1339,1379,96,86,16,16,8,11,0,0,26,26,1190,1211,295,307
Hardin,41866,20277,21589,18767,19907,1026,1195,143,115,141,169,7,7,193,196,19127,20607,1150,982
Harris,3312786,1626781,1686005,1156887,1145760,299505,359765,18730,16445,127375,138052,1809,1881,22475,24102,964353,1049667,662428,636338
Harrison,48091,23204,24887,17808,18490,4675,5628,266,273,171,204,30,23,254,269,20720,22675,2484,2212
Hartley,4306,2686,1620,2289,1553,344,17,10,19,23,12,0,1,20,18,1923,1335,763,285
Haskell,4553,2446,2107,2221,1956,134,79,27,19,32,16,0,0,32,37,1741,1599,705,508
Hays,161954,80111,81843,72401,74376,3902,3381,1047,961,1342,1573,163,86,1256,1466,51087,52655,29024,29188
Hemphill,2555,1259,1296,1201,1235,7,9,17,18,16,18,0,3,18,13,880,957,379,339
Henderson,62583,29982,32601,27106,29712,1862,1942,324,269,187,244,25,31,478,403,26745,29483,3237,3118
Hidalgo,552709,265215,287494,256701,279565,2684,1767,1520,1547,3100,3489,115,118,1095,1008,27064,25998,238151,261496
Hill,26753,13158,13595,12004,12312,787,880,131,111,60,106,21,17,155,169,10695,11453,2463,2142
Hockley,16047,7932,8115,7362,7622,299,285,121,103,53,29,10,4,87,72,4402,4606,3530,3509
Hood,46337,22302,24035,21423,23137,244,182,235,213,142,238,16,28,242,237,19919,21845,2383,2190
Hopkins,26852,12998,13854,11662,12401,932,1037,135,135,94,95,16,14,159,172,10995,12141,2003,1713
Houston,18092,9806,8286,6953,6150,2653,1925,70,52,51,90,1,0,78,69,8620,7725,1186,561
Howard,27076,15754,11322,13543,10394,1486,483,295,177,220,117,16,8,194,143,9214,7021,6540,4301
Hudspeth,3661,1984,1677,1785,1551,99,39,34,40,24,24,5,4,37,19,480,372,1504,1305
Hunt,70514,34293,36221,30124,31539,2578,2976,416,465,603,608,62,64,510,569,29322,31728,4971,4493
Hutchinson,15184,7632,7552,7034,6984,233,202,169,180,49,61,9,4,138,121,6020,6119,1612,1433
