County,REP,DEM,LIB,Total_Votes,Registered_Voters,Turn_Out,Race
ALL COUNTIES,4656196,3546615,140632,8343443,15793257,52.83,Governor
ANDERSON,11732,2868,151,14751,28487,51.78,Governor
ANDREWS,3400,687,38,4125,9574,43.09,Governor
ANGELINA,19701,6406,244,26351,51751,50.92,Governor
ARANSAS,7075,1797,108,8980,17308,51.88,Governor
ARCHER,3259,323,28,3610,6317,57.15,Governor
ARMSTRONG,822,59,14,895,1428,62.68,Governor
ATASCOSA,8361,3655,158,12174,27338,44.53,Governor
AUSTIN,9009,1897,123,11029,19406,56.83,Governor
BAILEY,1241,348,17,1606,3727,43.09,Governor
BANDERA,7866,1602,120,9588,15869,60.42,Governor
BASTROP,16351,10407,640,27398,47438,57.76,Governor
BAYLOR,1090,129,15,1234,2365,52.18,Governor
BEE,4827,2261,90,7178,15883,45.19,Governor
BELL,51157,33803,1438,86398,195760,44.13,Governor
BEXAR,251043,285502,9852,546397,1098257,49.75,Governor
BLANCO,4329,1351,115,5795,8504,68.14,Governor
BORDEN,321,17,1,339,488,69.47,Governor
BOSQUE,5948,1104,106,7158,12209,58.63,Governor
BOWIE,20651,7357,281,28289,59618,47.45,Governor
BRAZORIA,70373,39536,1637,111546,207446,53.77,Governor
BRAZOS,39424,23361,1383,64168,114377,56.1,Governor
BREWSTER,2033,1933,96,4062,7292,55.7,Governor
BRISCOE,556,58,9,623,1084,57.47,Governor
BROOKS,658,1198,12,1868,5843,31.97,Governor
BROWN,10640,1458,142,12240,23368,52.38,Governor
BURLESON,5254,1277,68,6599,11782,56.01,Governor
BURNET,14497,3712,340,18549,31072,59.7,Governor
CALDWELL,6723,4509,225,11457,23777,48.19,Governor
CALHOUN,4409,1627,82,6118,12835,47.67,Governor
CALLAHAN,4475,486,54,5015,9337,53.71,Governor
CAMERON,34407,41991,1113,77511,206966,37.45,Governor
CAMP,2816,1028,41,3885,7648,50.8,Governor
CARSON,2209,208,36,2453,4263,57.54,Governor
CASS,8323,1890,76,10289,20119,51.14,Governor
CASTRO,1226,371,18,1615,3842,42.04,Governor
CHAMBERS,12505,2460,203,15168,28063,54.05,Governor
CHEROKEE,11943,2938,154,15035,27949,53.79,Governor
CHILDRESS,1546,206,13,1765,3559,49.59,Governor
CLAY,3807,449,30,4286,7655,55.99,Governor
COCHRAN,550,122,7,679,1729,39.27,Governor
COKE,1187,118,15,1320,2285,57.77,Governor
COLEMAN,2774,328,28,3130,5912,52.94,Governor
COLLIN,208075,139175,6444,353694,579893,60.99,Governor
COLLINGSWORTH,827,101,11,939,1906,49.27,Governor
COLORADO,5992,1558,63,7613,13938,54.62,Governor
COMAL,46635,14145,1015,61795,100867,61.26,Governor
COMANCHE,3906,657,50,4613,9197,50.16,Governor
CONCHO,825,145,13,983,1677,58.62,Governor
COOKE,12294,2054,164,14512,25747,56.36,Governor
CORYELL,11281,4392,258,15931,38635,41.23,Governor
COTTLE,468,88,3,559,1063,52.59,Governor
CRANE,842,197,8,1047,2666,39.27,Governor
CROCKETT,921,333,12,1266,2497,50.7,Governor
CROSBY,1005,392,20,1417,3540,40.03,Governor
CULBERSON,324,422,11,757,1722,43.96,Governor
DALLAM,985,129,8,1122,3039,36.92,Governor
DALLAS,283659,425208,15030,723897,1335313,54.21,Governor
DAWSON,2240,739,30,3009,7202,41.78,Governor
DEAF SMITH,2788,957,28,3773,8855,42.61,Governor
DELTA,1606,301,29,1936,3896,49.69,Governor
DENTON,174472,113808,6194,294474,497490,59.19,Governor
DEWITT,5115,942,62,6119,11744,52.1,Governor
DICKENS,656,96,6,758,1288,58.85,Governor
DIMMIT,1042,1787,22,2851,7378,38.64,Governor
DONLEY,1130,134,20,1284,2237,57.4,Governor
DUVAL,1479,2457,22,3958,8377,47.25,Governor
EASTLAND,5434,708,57,6199,11775,52.65,Governor
ECTOR,21934,8211,412,30557,76536,39.93,Governor
EDWARDS,635,100,7,742,1449,51.21,Governor
ELLIS,43647,15879,975,60501,108349,55.84,Governor
EL PASO,62749,134181,3699,200629,455992,44,Governor
ERATH,10356,2073,167,12596,22492,56,Governor
FALLS,3344,1286,39,4669,10399,44.9,Governor
FANNIN,8856,1767,131,10754,20756,51.81,Governor
FAYETTE,8576,1777,108,10461,16626,62.92,Governor
FISHER,1161,310,17,1488,2682,55.48,Governor
FLOYD,1448,412,17,1877,3965,47.34,Governor
FOARD,331,101,4,436,913,47.75,Governor
