COUNTY,POLL PLACE ID,POLLING PLACE NAME,VOTES
Anderson,95607,1ST BAPTIST CHURCH-SLOCUM,336
Anderson,94334,1ST BAPTIST NECHES,239
Anderson,25633,1ST BAPTIST-ELKHART,487
Anderson,5342,ANTIOCH BAPTIST CHURCH BOX 15,149
Anderson,12261,ANTIOCH BAPTIST CHURCH BOX 8,28
Anderson,16266,CAYUGA HIGH SCHOOL,211
Anderson,5344,DAV POST,112
Anderson,5332,DENSON SPRINGS COMM,61
Anderson,5345,FRANKSTON COURTHOUSE ANNEX,535
Anderson,30986,FREEDOM FELLOWSHIP CHURCH,115
Anderson,14624,HARMONY BAPTIST CHURCH,105
Anderson,5349,MONTALBA COMM CENTR,237
Anderson,32180,NEW FELLOWSHIP,108
Anderson,95605,PALESTINE CIVIC CENTER,232
Anderson,14628,PALESTINE HIGH SCHOOL,158
Anderson,5340,PISD ADMIN OFFICE,167
Anderson,5350,PISGAH BAPTIST CHURCH,321
Anderson,14633,SWANSON HILL,159
Anderson,5338,TENN COLONY COMM CENTER,342
Anderson,14638,TUCKER COMM,190
Anderson,5334,WASHIGNTON EARLY CHILD,100
Anderson,5346,WESTWOOD JR. HIGH,302
Andrews,5352,JAMES ROBERTS CENTER,1079
Angelina,32902,BETHEL ASSEMBLY OF GOD,439
Angelina,95223,BRANDON COMMUNITY CENTER,223
Angelina,30072,BURKE COMMUNITY CENTER,147
Angelina,5365,CHAMBERS PARK COMMUNITY CENTER,170
Angelina,24541,COMMUNITY SERVICES MEETING RM 104,219
Angelina,5360,CROSS ROAD BAPTIST CHURCH,156
Angelina,30071,DENMAN AVE BAPTIST CHURCH,152
Angelina,30067,EMANUEL ASSEMBLY OF GOD,221
Angelina,5378,FAIRVIEW BAPTIST CHURCH,239
Angelina,5376,FELLOWSHIP HALL,202
Angelina,5390,FELLOWSHIP HALL,175
Angelina,94115,FIRST CHRISTIAN CHURCH,203
Angelina,5380,FIRST ORA MISSIONARY BAPTIST CHURCH,118
Angelina,5364,FULLER SPRINGS BAPTIST CHURCH,181
Angelina,5389,HARMONY HILL BAPTIST CHURCH,176
Angelina,30066,LIFE GATE CHURCH GT (GLAD TIDINGS),54
Angelina,94114,LIFE POINT CHURCH,149
Angelina,95183,LOTTIE & ARTHUR TEMPLE CIVIC CENTER,217
Angelina,30068,LUFKIN RESTORATION CENTER,283
Angelina,30073,LUFKIN SHRINE CLUB,158
Angelina,5379,O'QUINN BAPTIST CHURCH,394
Angelina,95186,OAK FLAT MISSIONARY BAPTIST CHURCH,159
Angelina,5353,POLLOK BAPTIST CHURCH,305
Angelina,5357,REDLAND SCHOOL  ACE CAMPUS,204
Angelina,5383,SALEM BAPTIST CHURCH,180
Angelina,30075,SOUTHSIDE BAPTIST CHURCH,71
Angelina,5366,ST PAUL'S METHODIST CHURCH,212
Angelina,5375,WOODLAWN  BAPTIST CHURCH,325
Angelina,95185,ZAVALLA FIRST BAPTIST CHURCH FAMILY LIFE CENTER,231
Aransas,95172,FULTON CONVENTION CENTER,87
Aransas,89622,FULTON VOLUNTEER FIRE DEPT,303
Aransas,5391,ROCKPORT G.I. FORUM,276
Aransas,91384,ROCKPORT SERVICE CENTER,66
Aransas,90180,ROCKPORT VOLUNTEER FIRE DEPT,534
Archer,94193,ARCHER COUNTY ACTIVITY BUILDING,205
Archer,94196,HOLLIDAY COMMUNITY CENTER,219
Archer,94194,LAKESIDE CITY BAPTIST CHURCH,235
Archer,94198,MEGARGEL CITY HALL,80
Archer,94197,SCOTLAND KNIGHTS OF COLUMBUS HALL,176
Archer,94195,WINDTHORST KNIGHTS OF COLUMBUS HALL,261
Armstrong,90220,1ST FLOOR,103
Armstrong,90217,FIRESTATION,62
Armstrong,90221,FLOOR,69
Armstrong,94807,WAYSIDE ACTIVITY BUILDING,32
Atascosa,89300,115 N MAIN ST  PLEASANTON,368
Atascosa,90601,BOARD ROOM,41
Atascosa,19974,CONFERENCE ROOM,76
Atascosa,13519,GYM,242
Atascosa,14137,HALL,195
Atascosa,25215,HALL,358
Atascosa,32404,HALL,225
Atascosa,5430,LOBBY,226
Atascosa,25212,LOBBY,105
Atascosa,94160,LOBBY,205
Atascosa,95401,LOBBY,236
Atascosa,89301,"LYTLE, TEXAS",200
Atascosa,5423,ROSSVILLE HISTORICAL COMMUNITY BLDG.,269
Atascosa,5433,TRINITY BAPTIST CHURCH,403
Atascosa,5435,VERDI COMMUNITY BUILDING,145
Austin,89369,CHILDRENS CHURCH,97
Austin,90619,EDUCATION CENTER,254
Austin,5449,FELLOWSHIP HALL,168
Austin,26983,FELLOWSHIP HALL,120
Austin,90096,FUCHS HALL,99
Austin,19811,HALL,438
Austin,5443,KENNEY AGRICULTURAL HALL,117
Austin,5452,KITCHEN,180
Austin,22908,MEETING,239
Austin,5454,MEETING ROOM,140
Austin,19810,MEETING ROOM,211
Austin,89370,MEETING ROOM,289
Austin,89406,MEETING ROOM,99
Austin,5440,RETREAT CENTER,146
